Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZGZ,Goods-producing industries,2017Q4,5309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q1,4913,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q2,4917,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q3,5159,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q4,5391,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q1,5515,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q2,5208,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q3,5407,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q4,5339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q1,5048,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q2,4833,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q3,5585,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q4,5152,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q1,5336,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q2,5753,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q3,4641,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q4,4471,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q1,4793,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q2,4767,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q3,4041,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q1,2858,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q2,3045,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q3,3136,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q4,3186,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q1,3111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q2,3079,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q3,2968,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q4,2862,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q1,2946,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q2,2939,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q3,3000,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q4,2615,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q1,2943,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q2,2859,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q3,2754,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q4,2816,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q1,2655,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q2,2764,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q3,2976,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q4,2799,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q1,2951,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q2,2892,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q3,2914,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q4,2933,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q1,2660,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q2,2602,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q3,2653,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q4,2668,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q1,2647,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q2,2635,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q3,2409,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q4,2538,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q1,2592,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q2,2393,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q3,2187,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q1,2029,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q2,2168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q3,2075,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q4,2162,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q1,2328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q2,1941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q3,2027,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
